ranges,sums,n,average_count
"(-1.63e+05,1.63e+06]",10131124.657426558,2451,0.702115746246655
"(1.63e+06,3.26e+06]",529948.3027319392,1601,0.036726924268178765
"(3.26e+06,4.9e+06]",305690.1891347504,1429,0.02118519932604849
"(4.9e+06,6.53e+06]",225016.56261251267,1279,0.015594287615514592
"(6.53e+06,8.16e+06]",185172.48359395642,1206,0.012832979644329251
"(8.16e+06,9.79e+06]",171359.76977804472,1186,0.011875719300933795
"(9.79e+06,1.14e+07]",165749.6838762129,1248,0.011486924395860241
"(1.14e+07,1.31e+07]",110245.24310331255,856,0.007640308825425909
"(1.31e+07,1.47e+07]",93163.8632228224,849,0.006456520629421287
"(1.47e+07,1.63e+07]",92237.80141225467,822,0.006392341912725637
"(1.63e+07,1.8e+07]",87268.57541380353,852,0.006047960421218351
"(1.8e+07,1.96e+07]",87033.47766856961,882,0.006031667478981695
"(1.96e+07,2.12e+07]",83969.18082099651,929,0.005819302994227484
"(2.12e+07,2.28e+07]",68376.37198923335,883,0.004738677004597647
"(2.28e+07,2.45e+07]",76066.32666300959,972,0.005271612729598669
"(2.45e+07,2.61e+07]",73674.6501403993,937,0.00510586274593598
"(2.61e+07,2.77e+07]",72000.78404205023,929,0.004989859065742603
"(2.77e+07,2.94e+07]",76529.42968381222,983,0.005303707085757003
"(2.94e+07,3.1e+07]",72003.34878306295,1004,0.004990036809587533
"(3.1e+07,3.26e+07]",58408.782640513244,897,0.004047894720251092
"(3.26e+07,3.43e+07]",60435.68279697017,955,0.004188364664510934
"(3.43e+07,3.59e+07]",58268.53844918591,918,0.004038175399012816
"(3.59e+07,3.75e+07]",55755.71730336278,886,0.003864029748491116
"(3.75e+07,3.92e+07]",52377.98970700314,896,0.003629943621616987
"(3.92e+07,4.08e+07]",56134.11751397501,959,0.003890253959053874
"(4.08e+07,4.24e+07]",47502.04757715927,873,0.0032920269674534953
"(4.24e+07,4.41e+07]",40633.76060500777,779,0.002816035150557496
"(4.41e+07,4.57e+07]",38227.6898235732,731,0.0026492876038287285
"(4.57e+07,4.73e+07]",43887.792397071935,766,0.003041548806469397
"(4.73e+07,4.9e+07]",41150.994070382985,747,0.0028518809004426733
"(4.9e+07,5.06e+07]",47187.57034555838,814,0.0032702328010989056
"(5.06e+07,5.22e+07]",45649.28731460316,885,0.0031636254130014787
"(5.22e+07,5.39e+07]",39177.438751337555,739,0.0027151079050995665
"(5.39e+07,5.55e+07]",36123.265842672554,732,0.0025034450380987425
"(5.55e+07,5.71e+07]",41122.0536231355,879,0.0028498752451573063
"(5.71e+07,5.88e+07]",43121.239639985,906,0.002988424520738198
"(5.88e+07,6.04e+07]",46330.11560901213,885,0.0032108087497146813
"(6.04e+07,6.2e+07]",48189.29471933367,969,0.003339655148568605
"(6.2e+07,6.36e+07]",39809.84301682003,842,0.002758935318916186
"(6.36e+07,6.53e+07]",42473.35696877681,904,0.002943524409392499
"(6.53e+07,6.69e+07]",44028.45508566697,866,0.0030512971307583066
"(6.69e+07,6.85e+07]",34271.60278607327,750,0.0023751195231393987
"(6.85e+07,7.02e+07]",23865.7714403268,583,0.001653965822273629
"(7.02e+07,7.18e+07]",19688.466771817253,520,0.0013644667307309902
"(7.18e+07,7.34e+07]",15897.1599269065,406,0.0011017183859346159
"(7.34e+07,7.51e+07]",18240.113159586046,477,0.0012640917070621904
"(7.51e+07,7.67e+07]",20477.277016175885,486,0.001419133523618479
"(7.67e+07,7.83e+07]",20719.214397864387,488,0.0014359004721096974
"(7.83e+07,8e+07]",18904.881313295402,494,0.0013101620303584804
"(8e+07,8.16e+07]",22526.642278168463,631,0.0015611603635706573
"(8.16e+07,8.32e+07]",23905.158166481735,677,0.001656695434390899
"(8.32e+07,8.49e+07]",24497.638863351156,699,0.0016977560313814091
"(8.49e+07,8.65e+07]",24511.82446293709,722,0.0016987391337689544
"(8.65e+07,8.81e+07]",24753.91157868563,741,0.0017155164592562969
"(8.81e+07,8.98e+07]",25135.625092524875,741,0.0017419702911539445
"(8.98e+07,9.14e+07]",23304.371487014483,722,0.0016150592091885977
"(9.14e+07,9.3e+07]",30653.977871478917,944,0.002124407829972246
"(9.3e+07,9.47e+07]",22650.36495440357,701,0.0015697346968347107
"(9.47e+07,9.63e+07]",18082.483590585132,554,0.0012531675297164418
"(9.63e+07,9.79e+07]",12712.89822050158,427,8.810399953476186e-4
"(9.79e+07,9.96e+07]",12860.93070513257,430,8.912990674575688e-4
"(9.96e+07,1.01e+08]",9597.605228898032,369,6.651413328064054e-4
"(1.01e+08,1.03e+08]",11147.117490903614,440,7.725269385455359e-4
"(1.03e+08,1.04e+08]",10094.108419279853,395,6.995504156887523e-4
"(1.04e+08,1.06e+08]",7805.225529010859,322,5.409243230372943e-4
"(1.06e+08,1.08e+08]",7706.09559420152,311,5.340543366826184e-4
"(1.08e+08,1.09e+08]",7759.118815934496,333,5.377289967183292e-4
"(1.09e+08,1.11e+08]",8901.288953060255,352,6.168846349406704e-4
"(1.11e+08,1.13e+08]",9672.080217372148,417,6.703026612746012e-4
"(1.13e+08,1.14e+08]",7737.341647170847,359,5.362197770004156e-4
"(1.14e+08,1.16e+08]",9640.452149824034,399,6.681107462602493e-4
"(1.16e+08,1.18e+08]",9103.360183963405,401,6.308887458245043e-4
"(1.18e+08,1.19e+08]",7403.060143170395,343,5.13053118255803e-4
"(1.19e+08,1.21e+08]",7455.824533249762,341,5.167098405219403e-4
"(1.21e+08,1.22e+08]",10012.065061426283,468,6.938645777021755e-4
"(1.22e+08,1.24e+08]",8857.076714436462,404,6.138206010881381e-4
"(1.24e+08,1.26e+08]",9038.118716027653,405,6.263673265847993e-4
"(1.26e+08,1.27e+08]",8942.974770272678,385,6.197735806056067e-4
"(1.27e+08,1.29e+08]",7318.037185755923,367,5.07160785547272e-4
"(1.29e+08,1.31e+08]",6954.729271955669,355,4.819825140679854e-4
"(1.31e+08,1.32e+08]",7235.576690525139,376,5.014460387543393e-4
"(1.32e+08,1.34e+08]",7435.464102318118,394,5.152988047642276e-4
"(1.34e+08,1.35e+08]",4464.850014287003,234,3.0942680162982016e-4
"(1.35e+08,1.37e+08]",3358.5809619524566,211,2.3275921066694775e-4
"(1.37e+08,1.39e+08]",3630.9074574103197,201,2.516322111527302e-4
"(1.39e+08,1.4e+08]",4472.973254312849,233,3.099897652617509e-4
"(1.4e+08,1.42e+08]",5531.769082263878,286,3.8336732678644677e-4
"(1.42e+08,1.44e+08]",7070.996039329194,353,4.900401316473238e-4
"(1.44e+08,1.45e+08]",5758.862318235452,290,3.9910553377069005e-4
"(1.45e+08,1.47e+08]",5330.066598002691,274,3.6938877109341867e-4
"(1.47e+08,1.49e+08]",4469.21081591102,259,3.097290175821464e-4
"(1.49e+08,1.5e+08]",5532.862171688116,281,3.834430809917068e-4
"(1.5e+08,1.52e+08]",5714.50853715065,285,3.9603169062313895e-4
"(1.52e+08,1.53e+08]",6088.0623687697325,306,4.219200333411676e-4
"(1.53e+08,1.55e+08]",5431.598098370145,241,3.7642519277003686e-4
"(1.55e+08,1.57e+08]",4513.5531066901185,216,3.1280206441884e-4
"(1.57e+08,1.58e+08]",3272.396540029201,166,2.2678638516537565e-4
"(1.58e+08,1.6e+08]",2441.144146463698,130,1.6917823065513271e-4
"(1.6e+08,1.62e+08]",1375.552947330671,73,9.532973058513182e-5
"(1.62e+08,1.63e+08]",861.7072830192897,41,5.971876494676839e-5
